Disease,Home_Remedy_1,Home_Remedy_2,Home_Remedy_3,Home_Remedy_4
Allergy,Drink plenty of water,Avoid dust and pollen,Use saline nasal spray,Get adequate rest
Fungal infection,Keep affected area dry,Maintain personal hygiene,Wear loose cotton clothes,Use antifungal cream as advised
GERD,Avoid lying down after meals,Eat smaller meals,Avoid spicy foods,Raise head while sleeping
Chronic cholestasis,Drink plenty of water,Follow a low-fat diet,Avoid alcohol,Consult a doctor regularly
Drug Reaction,Stop the suspected medicine only after medical advice,Drink plenty of water,Rest well,Seek medical attention if symptoms worsen
Peptic ulcer diseae,Avoid spicy foods,Eat small frequent meals,Avoid smoking,Reduce stress
AIDS,Maintain good hygiene,Eat a nutritious diet,Get adequate sleep,Take medicines as prescribed
Diabetes ,Exercise regularly,Monitor blood sugar,Follow a balanced diet,Stay hydrated
Hypertension ,Reduce salt intake,Exercise daily,Manage stress,Monitor blood pressure
Migraine,Rest in a quiet dark room,Stay hydrated,Avoid bright lights,Maintain regular sleep
Heart attack,Seek emergency medical care immediately,Do not delay treatment,Stay calm,Follow doctor's advice
Pneumonia,Drink warm fluids,Get plenty of rest,Take prescribed medicines,Monitor fever
Tuberculosis,Complete the full course of treatment,Eat nutritious food,Maintain hygiene,Get adequate rest
